API Name,Base URL,Source URL
"행정안전부_식품_일반음식점 조회서비스","apis.data.go.kr/1741000/general_restaurants","https://www.data.go.kr/data/15154916/openapi.do"
"행정안전부_생활_미용업 조회서비스","apis.data.go.kr/1741000/beauty_salons","https://www.data.go.kr/data/15154918/openapi.do"
"행정안전부_식품_휴게음식점 조회서비스","apis.data.go.kr/1741000/rest_cafes","https://www.data.go.kr/data/15154921/openapi.do"
"행정안전부_생활_이용업 조회서비스","apis.data.go.kr/1741000/barber_shops","https://www.data.go.kr/data/15154922/openapi.do"
"행정안전부_건강_의료기기판매(임대)업 조회서비스","apis.data.go.kr/1741000/medical_device_sales_rental","https://www.data.go.kr/data/15154923/openapi.do"
"행정안전부_문화_게임물배급업 조회서비스","apis.data.go.kr/1741000/game_distributors","https://www.data.go.kr/data/15154926/openapi.do"
"행정안전부_생활_세탁업 조회서비스","apis.data.go.kr/1741000/laundries","https://www.data.go.kr/data/15154927/openapi.do"
"행정안전부_자원환경_가축분뇨배출시설관리업(사업장) 조회서비스","apis.data.go.kr/1741000/manure_facility_management","https://www.data.go.kr/data/15154930/openapi.do"
"행정안전부_문화_게임물제작업 조회서비스","apis.data.go.kr/1741000/game_producers","https://www.data.go.kr/data/15154931/openapi.do"
"행정안전부_생활_의료기관세탁물처리업 조회서비스","apis.data.go.kr/1741000/medical_laundry","https://www.data.go.kr/data/15154932/openapi.do"
"행정안전부_건강_치과기공소 조회서비스","apis.data.go.kr/1741000/dental_labs","https://www.data.go.kr/data/15154933/openapi.do"
"행정안전부_문화_복합영상물제공업 조회서비스","apis.data.go.kr/1741000/mixed_video_content_providers","https://www.data.go.kr/data/15154937/openapi.do"
"행정안전부_생활_다단계판매업체 조회서비스","apis.data.go.kr/1741000/multilevel_marketing","https://www.data.go.kr/data/15154939/openapi.do"
"행정안전부_자원환경_개인하수처리시설관리업(사업장) 조회서비스","apis.data.go.kr/1741000/small_sewage_facility_management","https://www.data.go.kr/data/15154940/openapi.do"
"행정안전부_동물_동물미용업 조회서비스","apis.data.go.kr/1741000/pet_grooming","https://www.data.go.kr/data/15154944/openapi.do"
"행정안전부_문화_복합유통게임제공업 조회서비스","apis.data.go.kr/1741000/mixed_game_providers","https://www.data.go.kr/data/15154945/openapi.do"
"행정안전부_생활_대규모점포 조회서비스","apis.data.go.kr/1741000/large_scale_retail_stores","https://www.data.go.kr/data/15154948/openapi.do"
